,Cooling System 1 Flow,Fuel System 2  Injector Flow,Cooling System 2 Flow,Fuel System 1  Injector Flow,Fuel System 2  Service Flow,Fuel System 1  Service Flow,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow
331,6.252,6.897,6.452,6.898,10.526,10.563,6.062,6.897
332,6.252,6.897,6.452,7.143,10.52,10.563,6.062,6.897
333,6.25,7.148,6.668,7.143,11.058,11.073,6.062,6.897
334,6.25,7.148,6.668,7.143,11.058,11.073,6.248,6.896
335,6.25,7.148,6.668,6.897,10.047,10.524,6.248,6.896
336,6.252,7.399,6.452,6.897,10.047,10.524,6.248,6.896
337,6.252,7.399,6.452,6.897,10.522,11.114,6.248,6.668
338,6.252,7.399,6.452,7.143,10.522,11.114,5.882,6.668
339,6.252,7.144,6.661,7.143,11.097,10.522,5.882,6.668
340,6.249,7.144,6.661,7.143,11.097,11.118,5.882,6.668
341,6.249,7.144,6.661,6.895,10.443,11.118,6.061,6.668
342,6.249,7.143,6.457,6.895,10.443,10.522,6.061,6.668
343,6.443,7.143,6.457,6.895,10.093,10.522,6.061,6.451
344,6.443,7.406,6.457,6.897,10.093,11.114,6.061,6.451
345,6.443,7.406,6.457,6.897,11.114,11.114,5.884,6.451
346,6.459,7.406,6.448,6.897,11.114,11.111,5.884,6.668
347,6.459,7.405,6.448,6.872,10.494,11.111,5.884,6.668
348,6.459,7.405,6.448,6.872,10.494,11.111,6.06,6.668
349,6.252,7.405,6.668,6.872,10.025,11.111,6.06,6.669
350,6.252,6.902,6.668,6.693,10.025,11.087,6.06,6.669
351,6.252,6.902,6.668,6.693,10.528,10.546,6.059,6.669
352,6.449,6.902,6.451,6.693,11.101,10.546,6.059,6.894
353,6.449,7.144,6.451,6.897,11.101,11.116,6.059,6.894
354,6.449,7.144,6.451,6.897,10.531,11.116,6.061,6.894
355,6.251,7.144,6.667,6.897,10.531,11.061,6.061,6.897
356,6.251,6.896,6.667,6.664,10.533,11.061,6.061,6.897
357,6.251,6.896,6.667,6.664,10.533,10.572,6.061,6.894
358,6.251,7.141,6.668,6.664,10.522,10.572,6.062,6.894
359,6.251,7.141,6.668,6.897,10.522,11.075,6.062,6.894
360,6.251,7.141,6.668,6.897,10.531,11.075,6.062,6.897
361,6.251,7.142,6.666,6.897,10.531,10.561,6.059,6.897
362,6.249,7.142,6.666,6.668,10.526,11.109,6.059,6.897
363,6.249,7.142,6.666,6.668,10.526,11.109,6.059,6.666
364,6.249,6.897,6.451,7.144,10.522,10.526,5.884,6.666
365,6.251,6.897,6.451,7.144,10.522,10.526,5.884,6.666
366,6.251,6.897,6.451,7.144,10.531,11.114,5.884,6.893
367,6.251,6.897,6.668,6.894,11.106,11.114,5.884,6.893
368,6.45,6.897,6.668,6.894,11.106,10.524,6.056,6.893
369,6.45,6.897,6.668,6.894,10.526,10.524,6.056,6.673
370,6.45,7.142,6.453,6.897,10.526,10.866,6.056,6.673
371,6.061,7.142,6.453,6.897,10.528,10.866,6.064,6.673
372,6.061,7.142,6.453,6.897,10.528,10.759,6.064,6.666
373,6.061,7.146,6.667,6.668,10.524,10.759,6.064,6.666
374,6.061,7.146,6.667,6.668,10.524,10.526,5.882,6.666
375,6.25,7.408,6.667,6.668,11.109,11.097,5.882,6.451
376,6.25,7.408,6.452,6.896,11.109,11.097,5.882,6.451
377,6.25,7.408,6.452,6.896,10.531,10.537,5.882,6.451
378,6.25,7.144,6.452,6.896,10.531,10.537,6.061,6.668
379,6.25,7.144,6.668,6.668,10.526,11.106,6.061,6.668
380,6.25,7.144,6.668,6.668,10.526,11.106,6.061,6.668
381,6.251,7.404,6.668,6.668,10.526,10.533,6.237,6.668
382,6.251,7.404,6.667,6.452,10.526,10.533,6.237,6.668
383,6.251,7.4,6.667,6.452,10.526,11.109,6.237,6.668
384,6.25,7.4,6.667,6.452,10.522,11.109,5.893,6.895
385,6.25,7.4,6.45,6.897,10.522,10.528,5.893,6.895
386,6.25,7.15,6.45,6.897,10.533,10.528,5.893,6.895
387,6.249,7.15,6.45,6.897,10.533,11.114,5.893,6.896
388,6.249,7.15,6.667,6.665,10.524,10.522,6.061,6.896
389,6.249,7.406,6.667,6.665,10.524,10.522,6.061,6.896
390,6.249,7.406,6.667,6.665,11.106,11.039,6.061,6.897
